date|time|description|vendor|amount
2026-02-01|09:15:32|Grocery shopping|Whole Foods Market|-87.43
2026-04-02|12:30:00|Lunch|Chipotle Mexican Grill|14.75
2025-03-03|08:45:10|Morning coffee|Starbucks|6.50
2025-04-04|17:20:55|Gas station fill-up|Shell|52.30
2026-04-05|14:10:22|Online subscription|Netflix|15.99
2026-01-07|11:05:47|Pharmacy|CVS Pharmacy|-23.18
2026-02-08|19:30:00|Dinner out|Olive Garden|64.20
2023-04-09|10:00:00|Home supplies|Target|-112.67
2026-05-01|16:45:33|Electric bill|Con Edison|98.50
2026-04-11|13:25:14|Bookstore|Barnes & Noble|31.99
2026-03-12|09:55:00|Gym membership|Planet Fitness|24.99
2026-04-14|18:10:08|Takeout delivery|DoorDash|38.45
2026-03-31|07:30:00|Public transit|MTA|33.00
2026-04-16|20:00:00|Movie tickets|AMC Theatres|29.50
2026-04-17|15:40:19|Hardware store|Home Depot|76.82

2026-04-28|11:34:44|Video Games|The Exchange|23.00
2026-04-28|11:52:00|Groceries|Costco|-11.00
2026-04-30|10:35:00|Coffee|Starbucks|3.00
2026-04-30|03:51:00|Supplies|Staples|24.00
2026-04-30|15:55:00|Date|The Eagle|-57.00
2026-05-01|19:45:00|New Records|The Exchange|30.00
2026-04-31|19:53:00|Fast Food|Shake Shack|5.00
2026-04-30|20:00:46|Food Truck|Street Fries|-16.00
2026-04-30|20:01:54|Snacks|Family Dollar|30.00
2026-04-30|21:06:59|Games|Game Stop|44.00
2026-04-30|21:10:57|Food|Shop Right|-22.00
